Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,151.25,-104.005,180,top
C2,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,145.25,-111.25,180,top
C3,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,113,-107.5,0,top
C4,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,151.25,-101.755,180,top
D1,D_TVS,D_SOD-123F,111,-94.25,90,top
D2,D_TVS,D_SOD-123F,108.25,-94.25,90,top
D3,D_TVS,D_SOD-123F,108.5,-115.25,-90,top
D4,D_TVS,D_SOD-123F,111.25,-115.25,-90,top
D5,PWR,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,151.25,-95,90,top
D6,BUSY,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,117,-94.75,180,top
D7,TXD,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,142.5,-95,90,top
D8,RXD,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,142.5,-115,-90,top
J1,U254-051N-4BH83-F1B,U254-051N-4BH83-F1B,159.75,-105,90,top
J2,Mini-DIN-6-Shielded,KMDGX-6S-BS,102.25,-105,90,top
J3,UART,PinHeader_1x05_P2.54mm_Vertical,135,-92.5,-90,top
J4,UART,PinHeader_1x05_P2.54mm_Vertical,125,-117.5,90,top
Q1,LBSS84LT1G,SOT-23_Handsoldering,128,-108.25,-90,top
Q2,LBSS84LT1G,SOT-23_Handsoldering,122,-108.25,-90,top
Q3,2N7002,SOT-23_Handsoldering,118.25,-108.25,-90,top
Q4,LBSS84LT1G,SOT-23_Handsoldering,137,-102.5,-90,top
Q5,2N7002,SOT-23_Handsoldering,131,-102.5,-90,top
Q6,2N7002,SOT-23_Handsoldering,116.25,-98.25,0,top
Q7,2N7002,SOT-23_Handsoldering,125,-102.5,-90,top
R1,22,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,151.25,-106.255,0,top
R2,22,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,151.245,-108.505,180,top
R3,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,131,-108,-90,top
R4,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,122.5,-112.25,180,top
R5,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,117.5,-112.25,180,top
R6,39k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,113,-102.5,180,top
R7,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,113,-105,0,top
R8,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,125,-109,90,top
R9,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,140,-101.75,90,top
R10,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,134,-102,90,top
R11,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,133.5,-108,90,top
R12,1k5,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,148.75,-95,-90,top
R13,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,113.75,-93.25,-90,top
R14,1k5,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,117,-92.25,0,top
R15,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,122,-102,90,top
R16,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,128,-102,-90,top
R17,1k5,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,145,-95,-90,top
R18,1k5,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,145,-115,90,top
R19,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,136,-108,90,top
R20,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,138.5,-108,90,top
U1,FT231XS,SSOP-20_3.9x8.7mm_P0.635mm,145.25,-105,0,top
U2,LMV321,SOT-23-5_HandSoldering,118.75,-102.5,-90,top
th1,tooling-hole,tooling-hole,106.75,-91,0,top
th2,tooling-hole,tooling-hole,153.25,-91,0,top
th3,tooling-hole,tooling-hole,106.75,-119,0,top
