Ref,Qnty,Value,Cmp name,Footprint,Part Number
"C1, ",1,4.7uF,C_Small,C_0805,CL21A475KAQNNNE
"C2, C9,",2,22pF,C_Small,C_0805,CL21C220JBANNNC
"C4, C10, ",2,0.1uF,C_Small,C_0805,CL21B104KBCNNNC
"C3, C5, C6, C7, C8, ",5,220pF,C_Small,C_0805,CL21C221JBANNNC
"D1, D2, D3, D4, ",4,D_TVS,D_TVS,D_0805,"CUZ6V8,H3F"
"D5, ",1,TXLED,LED_Small,D_0805,EAST2012YA2
"D6, ",1,RXLED,LED_Small,D_0805,APT2012SGC
"D7, ",1,DLED,LED_Small,D_0805,5988191107F
"J1, ",1,USB_B_Micro,USB_B_Micro,Connector_USB:USB_Micro-B_Wuerth_629105150521,6.29105E+11
"J2, ",1,SB9600 Out,Mini-DIN-6-Shielded,MiniRIB-USB:KMDGX-6S-BS,KMDGX-6S-BS
"Q1, Q4, Q5, Q6, Q7, ",5,MMST3904-7-F,Q_NPN_BEC,SC-70-3,MMST3904-7-F
"Q2, Q3, Q8, Q9, ",4,MMST3906-7-F,Q_PNP_BEC,SC-70-3,MMST3906-7-F
"R1, R2, ",2,22,R_Small,R_0805,CRG0805F22R
"R3, ",1,3k,R_Small,R_0805,CRG0805F3K0
"R4, R5, R6, R22, ",4,1k5,R_Small,R_0805,CRGCQ0805F1K5
"R7, R10, R11, R13, R14, R15, R16, R17, R18, R19, R20, R23, R24, ",13,4k7,R_Small,R_0805,CRGCQ0805J4K7
"R8, R9, ",2,2k2,R_Small,R_0805,CRGCQ0805F2K2
"R12, R21, ",2,20k,R_Small,R_0805,CRG0805F20K
"U1, ",1,CH340G,CH340G,SOIC-16,N/A
"U2, ",1,TL081H,TL081H,SC-70-5,TL081HIDCKR
"Y1, ",1,12MHz,Crystal_GND24_Small,SeikoEpson_FA238-4Pin_3.2x2.5mm_HandSoldering,FA-238V 12.0000MB-W3
